fileID	LHAID	mzp	ma	mhp	mh2	mDM	tanBeta	gZ	Sigma[pb]
240	263400	2750.0	300.0	300.0	300.0	100	5.0	0.8	0.00022086
271	263400	2750.0	300.0	300.0	300.0	100	7.0	0.8	0.00011314
272	263400	2750.0	300.0	300.0	300.0	100	10.0	0.8	5.2804e-05
61	263400	2800.0	300.0	300.0	300.0	100	0.4	0.8	0.00066522
77	263400	2800.0	300.0	300.0	300.0	100	0.6	0.8	0.0010892
87	263400	2800.0	300.0	300.0	300.0	100	0.8	0.8	0.0013316
293	263400	2800.0	300.0	300.0	300.0	100	1.0	0.8	0.0013982
97	263400	2800.0	300.0	300.0	300.0	100	1.2	0.8	0.0013502
113	263400	2800.0	300.0	300.0	300.0	100	1.4	0.8	0.0012489
114	263400	2800.0	300.0	300.0	300.0	100	1.6	0.8	0.0011258
145	263400	2800.0	300.0	300.0	300.0	100	1.8	0.8	0.0010003
146	263400	2800.0	300.0	300.0	300.0	100	2.0	0.8	0.00088815
177	263400	2800.0	300.0	300.0	300.0	100	2.5	0.8	0.00065634
178	263400	2800.0	300.0	300.0	300.0	100	3.0	0.8	0.00049597
209	263400	2800.0	300.0	300.0	300.0	100	3.5	0.8	0.00038253
210	263400	2800.0	300.0	300.0	300.0	100	4.0	0.8	0.00030145
241	263400	2800.0	300.0	300.0	300.0	100	4.5	0.8	0.00024304
242	263400	2800.0	300.0	300.0	300.0	100	5.0	0.8	0.00019873
273	263400	2800.0	300.0	300.0	300.0	100	7.0	0.8	0.0001015
274	263400	2800.0	300.0	300.0	300.0	100	10.0	0.8	4.7318e-05
62	263400	2850.0	300.0	300.0	300.0	100	0.4	0.8	0.00059983
78	263400	2850.0	300.0	300.0	300.0	100	0.6	0.8	0.00097919
88	263400	2850.0	300.0	300.0	300.0	100	0.8	0.8	0.0011976
294	263400	2850.0	300.0	300.0	300.0	100	1.0	0.8	0.0012587
98	263400	2850.0	300.0	300.0	300.0	100	1.2	0.8	0.0012131
115	263400	2850.0	300.0	300.0	300.0	100	1.4	0.8	0.0011213
116	263400	2850.0	300.0	300.0	300.0	100	1.6	0.8	0.0010127
147	263400	2850.0	300.0	300.0	300.0	100	1.8	0.8	0.0008996
148	263400	2850.0	300.0	300.0	300.0	100	2.0	0.8	0.00079838
179	263400	2850.0	300.0	300.0	300.0	100	2.5	0.8	0.00059214
180	263400	2850.0	300.0	300.0	300.0	100	3.0	0.8	0.00044607
211	263400	2850.0	300.0	300.0	300.0	100	3.5	0.8	0.00034403
212	263400	2850.0	300.0	300.0	300.0	100	4.0	0.8	0.00027062
243	263400	2850.0	300.0	300.0	300.0	100	4.5	0.8	0.0002188
244	263400	2850.0	300.0	300.0	300.0	100	5.0	0.8	0.00017837
275	263400	2850.0	300.0	300.0	300.0	100	7.0	0.8	9.1653e-05
276	263400	2850.0	300.0	300.0	300.0	100	10.0	0.8	4.2595e-05
63	263400	2900.0	300.0	300.0	300.0	100	0.4	0.8	0.00053746
79	263400	2900.0	300.0	300.0	300.0	100	0.6	0.8	0.0008824
89	263400	2900.0	300.0	300.0	300.0	100	0.8	0.8	0.0010796
295	263400	2900.0	300.0	300.0	300.0	100	1.0	0.8	0.0011307
99	263400	2900.0	300.0	300.0	300.0	100	1.2	0.8	0.0010913
117	263400	2900.0	300.0	300.0	300.0	100	1.4	0.8	0.0010123
118	263400	2900.0	300.0	300.0	300.0	100	1.6	0.8	0.00090838
149	263400	2900.0	300.0	300.0	300.0	100	1.8	0.8	0.00081147
150	263400	2900.0	300.0	300.0	300.0	100	2.0	0.8	0.00071891
181	263400	2900.0	300.0	300.0	300.0	100	2.5	0.8	0.00053226
182	263400	2900.0	300.0	300.0	300.0	100	3.0	0.8	0.00040203
213	263400	2900.0	300.0	300.0	300.0	100	3.5	0.8	0.00030955
214	263400	2900.0	300.0	300.0	300.0	100	4.0	0.8	0.00024474
245	263400	2900.0	300.0	300.0	300.0	100	4.5	0.8	0.00019633
246	263400	2900.0	300.0	300.0	300.0	100	5.0	0.8	0.00016111
277	263400	2900.0	300.0	300.0	300.0	100	7.0	0.8	8.231e-05
278	263400	2900.0	300.0	300.0	300.0	100	10.0	0.8	3.8433e-05
64	263400	2950.0	300.0	300.0	300.0	100	0.4	0.8	0.00048589
80	263400	2950.0	300.0	300.0	300.0	100	0.6	0.8	0.00079507
90	263400	2950.0	300.0	300.0	300.0	100	0.8	0.8	0.00097206
296	263400	2950.0	300.0	300.0	300.0	100	1.0	0.8	0.0010172
100	263400	2950.0	300.0	300.0	300.0	100	1.2	0.8	0.00098371
119	263400	2950.0	300.0	300.0	300.0	100	1.4	0.8	0.00091157
120	263400	2950.0	300.0	300.0	300.0	100	1.6	0.8	0.00082001
151	263400	2950.0	300.0	300.0	300.0	100	1.8	0.8	0.00073322
152	263400	2950.0	300.0	300.0	300.0	100	2.0	0.8	0.00064814
183	263400	2950.0	300.0	300.0	300.0	100	2.5	0.8	0.00048007
184	263400	2950.0	300.0	300.0	300.0	100	3.0	0.8	0.00036161
215	263400	2950.0	300.0	300.0	300.0	100	3.5	0.8	0.00027918
216	263400	2950.0	300.0	300.0	300.0	100	4.0	0.8	0.00022057
247	263400	2950.0	300.0	300.0	300.0	100	4.5	0.8	0.00017679
248	263400	2950.0	300.0	300.0	300.0	100	5.0	0.8	0.00014478
279	263400	2950.0	300.0	300.0	300.0	100	7.0	0.8	7.4167e-05
280	263400	2950.0	300.0	300.0	300.0	100	10.0	0.8	3.4567e-05
2	263400	3300.0	300.0	300.0	300.0	100	1.4	0.8	0.00044624
3	263400	3300.0	300.0	300.0	300.0	100	1.6	0.8	0.0004015
4	263400	3300.0	300.0	300.0	300.0	100	1.8	0.8	0.00035962
5	263400	3300.0	300.0	300.0	300.0	100	2.0	0.8	0.0003181
6	263400	3300.0	300.0	300.0	300.0	100	2.5	0.8	0.00023538
7	263400	3300.0	300.0	300.0	300.0	100	3.0	0.8	0.00017757
8	263400	3300.0	300.0	300.0	300.0	100	3.5	0.8	0.00013728
9	263400	3300.0	300.0	300.0	300.0	100	4.0	0.8	0.00010808
10	263400	3300.0	300.0	300.0	300.0	100	4.5	0.8	8.6955e-05
11	263400	3300.0	300.0	300.0	300.0	100	5.0	0.8	7.1076e-05
12	263400	3300.0	300.0	300.0	300.0	100	7.0	0.8	3.6539e-05
13	263400	3300.0	300.0	300.0	300.0	100	10.0	0.8	1.6991e-05
14	263400	3700.0	300.0	300.0	300.0	100	1.4	0.8	0.00020419
15	263400	3700.0	300.0	300.0	300.0	100	1.6	0.8	0.00018444
16	263400	3700.0	300.0	300.0	300.0	100	1.8	0.8	0.0001638
17	263400	3700.0	300.0	300.0	300.0	100	2.0	0.8	0.00014559
18	263400	3700.0	300.0	300.0	300.0	100	2.5	0.8	0.00010815
19	263400	3700.0	300.0	300.0	300.0	100	3.0	0.8	8.1506e-05
20	263400	3700.0	300.0	300.0	300.0	100	3.5	0.8	6.2849e-05
21	263400	3700.0	300.0	300.0	300.0	100	4.0	0.8	4.952e-05
22	263400	3700.0	300.0	300.0	300.0	100	4.5	0.8	3.9747e-05
23	263400	3700.0	300.0	300.0	300.0	100	5.0	0.8	3.2699e-05
24	263400	3700.0	300.0	300.0	300.0	100	7.0	0.8	1.6659e-05
25	263400	3700.0	300.0	300.0	300.0	100	10.0	0.8	7.7768e-06
26	263400	4000.0	300.0	300.0	300.0	100	1.4	0.8	0.00011623
27	263400	4000.0	300.0	300.0	300.0	100	1.6	0.8	0.00010465
28	263400	4000.0	300.0	300.0	300.0	100	1.8	0.8	9.3453e-05
29	263400	4000.0	300.0	300.0	300.0	100	2.0	0.8	8.2431e-05
30	263400	4000.0	300.0	300.0	300.0	100	2.5	0.8	6.1203e-05
31	263400	4000.0	300.0	300.0	300.0	100	3.0	0.8	4.6129e-05
32	263400	4000.0	300.0	300.0	300.0	100	3.5	0.8	3.5617e-05
33	263400	4000.0	300.0	300.0	300.0	100	4.0	0.8	2.8162e-05
34	263400	4000.0	300.0	300.0	300.0	100	4.5	0.8	2.2626e-05
35	263400	4000.0	300.0	300.0	300.0	100	5.0	0.8	1.8552e-05
36	263400	4000.0	300.0	300.0	300.0	100	7.0	0.8	9.4791e-06
37	263400	4000.0	300.0	300.0	300.0	100	10.0	0.8	4.4317e-06
