LHAID	mzp	ma	mhp	mh2	mDM	tanBeta	gZ	Sigma[pb]
263400	5000.0	500.0	500.0	500.0	100	1.0	0.8	9.6144e-06
263400	5000.0	600.0	600.0	600.0	100	1.0	0.8	8.6759e-06
263400	5000.0	700.0	700.0	700.0	100	1.0	0.8	8.081e-06
263400	5000.0	800.0	800.0	800.0	100	1.0	0.8	7.594e-06
263400	5000.0	900.0	900.0	900.0	100	1.0	0.8	7.1616e-06
263400	5000.0	1000.0	1000.0	1000.0	100	1.0	0.8	6.7931e-06
263400	5000.0	1100.0	1100.0	1100.0	100	1.0	0.8	6.4295e-06
263400	5000.0	1200.0	1200.0	1200.0	100	1.0	0.8	6.1008e-06
263400	5500.0	300.0	300.0	300.0	100	1.0	0.8	1.053e-05
263400	5500.0	400.0	400.0	400.0	100	1.0	0.8	5.2607e-06
263400	5500.0	500.0	500.0	500.0	100	1.0	0.8	4.2793e-06
263400	5500.0	600.0	600.0	600.0	100	1.0	0.8	3.8228e-06
263400	5500.0	700.0	700.0	700.0	100	1.0	0.8	3.4986e-06
263400	5500.0	800.0	800.0	800.0	100	1.0	0.8	3.2643e-06
263400	5500.0	900.0	900.0	900.0	100	1.0	0.8	3.0579e-06
263400	5500.0	1000.0	1000.0	1000.0	100	1.0	0.8	2.8904e-06
263400	5500.0	1100.0	1100.0	1100.0	100	1.0	0.8	2.7145e-06
263400	6000.0	300.0	300.0	300.0	100	1.0	0.8	5.3412e-06
263400	6000.0	400.0	400.0	400.0	100	1.0	0.8	2.6408e-06
263400	6000.0	500.0	500.0	500.0	100	1.0	0.8	2.0757e-06
263400	6000.0	600.0	600.0	600.0	100	1.0	0.8	1.8207e-06
263400	6000.0	800.0	800.0	800.0	100	1.0	0.8	1.5028e-06
263400	6000.0	900.0	900.0	900.0	100	1.0	0.8	1.3909e-06
263400	6000.0	1000.0	1000.0	1000.0	100	1.0	0.8	1.2921e-06
263400	6000.0	1100.0	1100.0	1100.0	100	1.0	0.8	1.2093e-06
263400	6000.0	1200.0	1200.0	1200.0	100	1.0	0.8	1.1285e-06
